counter,block_x,block_y,block_z,block_type,bot_x,bot_y,bot_z,bot_pitch,bot_yaw
70,-3,6,0,1,0.5,2.001,-9.5,0,180
71,-2,6,0,1,0.5,2.001,-9.5,0,180
72,-1,6,0,1,0.5,2.001,-9.5,0,180
73,0,6,0,1,0.5,2.001,-9.5,0,180
74,1,6,0,1,0.5,2.001,-9.5,0,180
75,2,6,0,1,0.5,2.001,-9.5,0,180
76,3,6,0,1,0.5,2.001,-9.5,0,180
77,4,6,0,1,0.5,2.001,-9.5,0,180
78,5,6,0,1,0.5,2.001,-9.5,0,180
79,6,6,0,1,0.5,2.001,-9.5,0,180
80,7,6,0,1,0.5,2.001,-9.5,0,180
81,8,6,0,1,0.5,2.001,-9.5,0,180
82,9,6,0,1,0.5,2.001,-9.5,0,180
83,10,6,0,1,0.5,2.001,-9.5,0,180
84,-10,7,0,1,0.5,2.001,-9.5,0,180
85,-9,7,0,1,0.5,2.001,-9.5,0,180
86,-8,7,0,1,0.5,2.001,-9.5,0,180
87,-7,7,0,1,0.5,2.001,-9.5,0,180
88,-6,7,0,1,0.5,2.001,-9.5,0,180
89,-5,7,0,1,0.5,2.001,-9.5,0,180
90,-4,7,0,1,0.5,2.001,-9.5,0,180
91,-3,7,0,1,0.5,2.001,-9.5,0,180
92,-2,7,0,1,0.5,2.001,-9.5,0,180
93,-1,7,0,1,0.5,2.001,-9.5,0,180
94,0,7,0,1,0.5,2.001,-9.5,0,180
95,1,7,0,1,0.5,2.001,-9.5,0,180
96,2,7,0,1,0.5,2.001,-9.5,0,180
97,3,7,0,1,0.5,2.001,-9.5,0,180
98,4,7,0,1,0.5,2.001,-9.5,0,180
99,5,7,0,1,0.5,2.001,-9.5,0,180
100,6,7,0,1,0.5,2.001,-9.5,0,180
101,7,7,0,1,0.5,2.001,-9.5,0,180
102,8,7,0,1,0.5,2.001,-9.5,0,180
103,9,7,0,1,0.5,2.001,-9.5,0,180
104,10,7,0,1,0.5,2.001,-9.5,0,180
105,-10,8,0,1,0.5,2.001,-9.5,0,180
106,-9,8,0,1,0.5,2.001,-9.5,0,180
107,-8,8,0,1,0.5,2.001,-9.5,0,180
108,-7,8,0,1,0.5,2.001,-9.5,0,180
109,-6,8,0,1,0.5,2.001,-9.5,0,180
110,-5,8,0,1,0.5,2.001,-9.5,0,180
111,-4,8,0,1,0.5,2.001,-9.5,0,180
112,-3,8,0,1,0.5,2.001,-9.5,0,180
113,-2,8,0,1,0.5,2.001,-9.5,0,180
114,-1,8,0,1,0.5,2.001,-9.5,0,180
115,0,8,0,1,0.5,2.001,-9.5,0,180
116,1,8,0,1,0.5,2.001,-9.5,0,180
117,2,8,0,1,0.5,2.001,-9.5,0,180
118,3,8,0,1,0.5,2.001,-9.5,0,180
119,4,8,0,1,0.5,2.001,-9.5,0,180
120,5,8,0,1,0.5,2.001,-9.5,0,180
121,6,8,0,1,0.5,2.001,-9.5,0,180
122,7,8,0,1,0.5,2.001,-9.5,0,180
123,8,8,0,1,0.5,2.001,-9.5,0,180
124,9,8,0,1,0.5,2.001,-9.5,0,180
125,10,8,0,1,0.5,2.001,-9.5,0,180
126,-10,9,0,1,0.5,2.001,-9.5,0,180
127,-9,9,0,1,0.5,2.001,-9.5,0,180
128,-8,9,0,1,0.5,2.001,-9.5,0,180
129,-7,9,0,1,0.5,2.001,-9.5,0,180
130,-6,9,0,1,0.5,2.001,-9.5,0,180
131,-5,9,0,1,0.5,2.001,-9.5,0,180
132,-4,9,0,1,0.5,2.001,-9.5,0,180
133,-3,9,0,1,0.5,2.001,-9.5,0,180
134,-2,9,0,1,0.5,2.001,-9.5,0,180
135,-1,9,0,1,0.5,2.001,-9.5,0,180
136,0,9,0,1,0.5,2.001,-9.5,0,180
137,1,9,0,1,0.5,2.001,-9.5,0,180
138,2,9,0,1,0.5,2.001,-9.5,0,180
139,3,9,0,1,0.5,2.001,-9.5,0,180
140,4,9,0,1,0.5,2.001,-9.5,0,180
141,5,9,0,1,0.5,2.001,-9.5,0,180
142,6,9,0,1,0.5,2.001,-9.5,0,180
143,7,9,0,1,0.5,2.001,-9.5,0,180
144,8,9,0,1,0.5,2.001,-9.5,0,180
145,9,9,0,1,0.5,2.001,-9.5,0,180
146,10,9,0,1,0.5,2.001,-9.5,0,180
147,-10,3,1,1,0.5,2.001,-9.5,0,180
148,-9,3,1,1,0.5,2.001,-9.5,0,180
149,-8,3,1,1,0.5,2.001,-9.5,0,180
150,-7,3,1,1,0.5,2.001,-9.5,0,180
151,-6,3,1,1,0.5,2.001,-9.5,0,180
152,-5,3,1,1,0.5,2.001,-9.5,0,180
153,-4,3,1,1,0.5,2.001,-9.5,0,180
154,-3,3,1,1,0.5,2.001,-9.5,0,180
155,-2,3,1,1,0.5,2.001,-9.5,0,180
156,-1,3,1,1,0.5,2.001,-9.5,0,180
157,0,3,1,1,0.5,2.001,-9.5,0,180
158,1,3,1,1,0.5,2.001,-9.5,0,180
159,2,3,1,1,0.5,2.001,-9.5,0,180
160,3,3,1,1,0.5,2.001,-9.5,0,180
161,4,3,1,1,0.5,2.001,-9.5,0,180
162,5,3,1,1,0.5,2.001,-9.5,0,180
163,6,3,1,1,0.5,2.001,-9.5,0,180
164,7,3,1,1,0.5,2.001,-9.5,0,180
165,8,3,1,1,0.5,2.001,-9.5,0,180
166,9,3,1,1,0.5,2.001,-9.5,0,180
167,10,3,1,1,0.5,2.001,-9.5,0,180
168,-10,4,1,1,0.5,2.001,-9.5,0,180
169,-9,4,1,1,0.5,2.001,-9.5,0,180
170,-8,4,1,1,0.5,2.001,-9.5,0,180
171,-7,4,1,1,0.5,2.001,-9.5,0,180
172,-6,4,1,1,0.5,2.001,-9.5,0,180
173,-5,4,1,1,0.5,2.001,-9.5,0,180
174,-4,4,1,1,0.5,2.001,-9.5,0,180
175,-3,4,1,1,0.5,2.001,-9.5,0,180
176,-2,4,1,1,0.5,2.001,-9.5,0,180
177,-1,4,1,1,0.5,2.001,-9.5,0,180
178,0,4,1,1,0.5,2.001,-9.5,0,180
179,1,4,1,1,0.5,2.001,-9.5,0,180
180,2,4,1,1,0.5,2.001,-9.5,0,180
181,3,4,1,1,0.5,2.001,-9.5,0,180
182,4,4,1,1,0.5,2.001,-9.5,0,180
183,5,4,1,1,0.5,2.001,-9.5,0,180
184,6,4,1,1,0.5,2.001,-9.5,0,180
185,7,4,1,1,0.5,2.001,-9.5,0,180
186,8,4,1,1,0.5,2.001,-9.5,0,180
187,9,4,1,1,0.5,2.001,-9.5,0,180
188,10,4,1,1,0.5,2.001,-9.5,0,180
189,-10,5,1,1,0.5,2.001,-9.5,0,180
190,-9,5,1,1,0.5,2.001,-9.5,0,180
191,-8,5,1,1,0.5,2.001,-9.5,0,180
192,-7,5,1,1,0.5,2.001,-9.5,0,180
193,-6,5,1,1,0.5,2.001,-9.5,0,180
194,-5,5,1,1,0.5,2.001,-9.5,0,180
195,-4,5,1,1,0.5,2.001,-9.5,0,180
196,-3,5,1,1,0.5,2.001,-9.5,0,180
197,-2,5,1,1,0.5,2.001,-9.5,0,180
198,-1,5,1,1,0.5,2.001,-9.5,0,180
199,0,5,1,1,0.5,2.001,-9.5,0,180
200,1,5,1,1,0.5,2.001,-9.5,0,180
201,2,5,1,1,0.5,2.001,-9.5,0,180
202,3,5,1,1,0.5,2.001,-9.5,0,180
203,4,5,1,1,0.5,2.001,-9.5,0,180
204,5,5,1,1,0.5,2.001,-9.5,0,180
205,6,5,1,1,0.5,2.001,-9.5,0,180
206,7,5,1,1,0.5,2.001,-9.5,0,180
207,8,5,1,1,0.5,2.001,-9.5,0,180
208,9,5,1,1,0.5,2.001,-9.5,0,180
209,10,5,1,1,0.5,2.001,-9.5,0,180
210,-10,6,1,1,0.5,2.001,-9.5,0,180
211,-9,6,1,1,0.5,2.001,-9.5,0,180
212,-8,6,1,1,0.5,2.001,-9.5,0,180
213,-7,6,1,1,0.5,2.001,-9.5,0,180
214,-6,6,1,1,0.5,2.001,-9.5,0,180
215,-5,6,1,1,0.5,2.001,-9.5,0,180
216,-4,6,1,1,0.5,2.001,-9.5,0,180
217,-3,6,1,1,0.5,2.001,-9.5,0,180
218,-2,6,1,1,0.5,2.001,-9.5,0,180
219,-1,6,1,1,0.5,2.001,-9.5,0,180
220,0,6,1,1,0.5,2.001,-9.5,0,180
221,1,6,1,1,0.5,2.001,-9.5,0,180
222,2,6,1,1,0.5,2.001,-9.5,0,180
223,3,6,1,1,0.5,2.001,-9.5,0,180
224,4,6,1,1,0.5,2.001,-9.5,0,180
225,5,6,1,1,0.5,2.001,-9.5,0,180
226,6,6,1,1,0.5,2.001,-9.5,0,180
227,7,6,1,1,0.5,2.001,-9.5,0,180
228,8,6,1,1,0.5,2.001,-9.5,0,180
229,9,6,1,1,0.5,2.001,-9.5,0,180
230,10,6,1,1,0.5,2.001,-9.5,0,180
231,-10,7,1,1,0.5,2.001,-9.5,0,180
232,-9,7,1,1,0.5,2.001,-9.5,0,180
233,-8,7,1,1,0.5,2.001,-9.5,0,180
234,-7,7,1,1,0.5,2.001,-9.5,0,180
235,-6,7,1,1,0.5,2.001,-9.5,0,180
236,-5,7,1,1,0.5,2.001,-9.5,0,180
237,-4,7,1,1,0.5,2.001,-9.5,0,180
238,-3,7,1,1,0.5,2.001,-9.5,0,180
239,-2,7,1,1,0.5,2.001,-9.5,0,180
240,-1,7,1,1,0.5,2.001,-9.5,0,180
241,0,7,1,1,0.5,2.001,-9.5,0,180
242,1,7,1,1,0.5,2.001,-9.5,0,180
243,2,7,1,1,0.5,2.001,-9.5,0,180
244,3,7,1,1,0.5,2.001,-9.5,0,180
245,4,7,1,1,0.5,2.001,-9.5,0,180
246,5,7,1,1,0.5,2.001,-9.5,0,180
247,6,7,1,1,0.5,2.001,-9.5,0,180
248,7,7,1,1,0.5,2.001,-9.5,0,180
249,8,7,1,1,0.5,2.001,-9.5,0,180
250,9,7,1,1,0.5,2.001,-9.5,0,180
251,10,7,1,1,0.5,2.001,-9.5,0,180
252,-10,8,1,1,0.5,2.001,-9.5,0,180
253,-9,8,1,1,0.5,2.001,-9.5,0,180
254,-8,8,1,1,0.5,2.001,-9.5,0,180
255,-7,8,1,1,0.5,2.001,-9.5,0,180
256,-6,8,1,1,0.5,2.001,-9.5,0,180
257,-5,8,1,1,0.5,2.001,-9.5,0,180
258,-4,8,1,1,0.5,2.001,-9.5,0,180
259,-3,8,1,1,0.5,2.001,-9.5,0,180
260,-2,8,1,1,0.5,2.001,-9.5,0,180
261,-1,8,1,1,0.5,2.001,-9.5,0,180
262,0,8,1,1,0.5,2.001,-9.5,0,180
263,1,8,1,1,0.5,2.001,-9.5,0,180
264,2,8,1,1,0.5,2.001,-9.5,0,180
265,3,8,1,1,0.5,2.001,-9.5,0,180
266,4,8,1,1,0.5,2.001,-9.5,0,180
267,5,8,1,1,0.5,2.001,-9.5,0,180
268,6,8,1,1,0.5,2.001,-9.5,0,180
269,7,8,1,1,0.5,2.001,-9.5,0,180
270,8,8,1,1,0.5,2.001,-9.5,0,180
271,9,8,1,1,0.5,2.001,-9.5,0,180
272,10,8,1,1,0.5,2.001,-9.5,0,180
273,-10,9,1,1,0.5,2.001,-9.5,0,180
274,-9,9,1,1,0.5,2.001,-9.5,0,180
275,-8,9,1,1,0.5,2.001,-9.5,0,180
276,-7,9,1,1,0.5,2.001,-9.5,0,180
277,-6,9,1,1,0.5,2.001,-9.5,0,180
278,-5,9,1,1,0.5,2.001,-9.5,0,180
279,-4,9,1,1,0.5,2.001,-9.5,0,180
280,-3,9,1,1,0.5,2.001,-9.5,0,180
281,-2,9,1,1,0.5,2.001,-9.5,0,180
282,-1,9,1,1,0.5,2.001,-9.5,0,180
283,0,9,1,1,0.5,2.001,-9.5,0,180
284,1,9,1,1,0.5,2.001,-9.5,0,180
285,2,9,1,1,0.5,2.001,-9.5,0,180
286,3,9,1,1,0.5,2.001,-9.5,0,180
287,4,9,1,1,0.5,2.001,-9.5,0,180
288,5,9,1,1,0.5,2.001,-9.5,0,180
289,6,9,1,1,0.5,2.001,-9.5,0,180
290,7,9,1,1,0.5,2.001,-9.5,0,180
291,8,9,1,1,0.5,2.001,-9.5,0,180
292,9,9,1,1,0.5,2.001,-9.5,0,180
293,10,9,1,1,0.5,2.001,-9.5,0,180
294,-10,3,2,1,0.5,2.001,-9.5,0,180
295,-9,3,2,1,0.5,2.001,-9.5,0,180
296,-8,3,2,1,0.5,2.001,-9.5,0,180
297,-7,3,2,1,0.5,2.001,-9.5,0,180
298,-6,3,2,1,0.5,2.001,-9.5,0,180
299,-5,3,2,1,0.5,2.001,-9.5,0,180
300,-4,3,2,1,0.5,2.001,-9.5,0,180
301,-3,3,2,1,0.5,2.001,-9.5,0,180
302,-2,3,2,1,0.5,2.001,-9.5,0,180
303,-1,3,2,1,0.5,2.001,-9.5,0,180
304,0,3,2,1,0.5,2.001,-9.5,0,180
305,1,3,2,1,0.5,2.001,-9.5,0,180
306,2,3,2,1,0.5,2.001,-9.5,0,180
307,3,3,2,1,0.5,2.001,-9.5,0,180
308,4,3,2,1,0.5,2.001,-9.5,0,180
309,5,3,2,1,0.5,2.001,-9.5,0,180
310,6,3,2,1,0.5,2.001,-9.5,0,180
311,7,3,2,1,0.5,2.001,-9.5,0,180
312,8,3,2,1,0.5,2.001,-9.5,0,180
313,9,3,2,1,0.5,2.001,-9.5,0,180
314,10,3,2,1,0.5,2.001,-9.5,0,180
315,-10,4,2,1,0.5,2.001,-9.5,0,180
316,-9,4,2,1,0.5,2.001,-9.5,0,180
317,-8,4,2,1,0.5,2.001,-9.5,0,180
318,-7,4,2,1,0.5,2.001,-9.5,0,180
319,-6,4,2,1,0.5,2.001,-9.5,0,180
320,-5,4,2,1,0.5,2.001,-9.5,0,180
321,-4,4,2,1,0.5,2.001,-9.5,0,180
322,-3,4,2,1,0.5,2.001,-9.5,0,180
323,-2,4,2,1,0.5,2.001,-9.5,0,180
324,-1,4,2,1,0.5,2.001,-9.5,0,180
325,0,4,2,1,0.5,2.001,-9.5,0,180
326,1,4,2,1,0.5,2.001,-9.5,0,180
327,2,4,2,1,0.5,2.001,-9.5,0,180
328,3,4,2,1,0.5,2.001,-9.5,0,180
329,4,4,2,1,0.5,2.001,-9.5,0,180
330,5,4,2,1,0.5,2.001,-9.5,0,180
331,6,4,2,1,0.5,2.001,-9.5,0,180
332,7,4,2,1,0.5,2.001,-9.5,0,180
333,8,4,2,1,0.5,2.001,-9.5,0,180
334,9,4,2,1,0.5,2.001,-9.5,0,180
335,10,4,2,1,0.5,2.001,-9.5,0,180
336,-10,5,2,1,0.5,2.001,-9.5,0,180
337,-9,5,2,1,0.5,2.001,-9.5,0,180
338,-8,5,2,1,0.5,2.001,-9.5,0,180
339,-7,5,2,1,0.5,2.001,-9.5,0,180
340,-6,5,2,1,0.5,2.001,-9.5,0,180
341,-5,5,2,1,0.5,2.001,-9.5,0,180
342,-4,5,2,1,0.5,2.001,-9.5,0,180
343,-3,5,2,1,0.5,2.001,-9.5,0,180
344,-2,5,2,1,0.5,2.001,-9.5,0,180
345,-1,5,2,1,0.5,2.001,-9.5,0,180
346,0,5,2,1,0.5,2.001,-9.5,0,180
347,1,5,2,1,0.5,2.001,-9.5,0,180
348,2,5,2,1,0.5,2.001,-9.5,0,180
349,3,5,2,1,0.5,2.001,-9.5,0,180
350,4,5,2,1,0.5,2.001,-9.5,0,180
351,5,5,2,1,0.5,2.001,-9.5,0,180
352,6,5,2,1,0.5,2.001,-9.5,0,180
353,7,5,2,1,0.5,2.001,-9.5,0,180
354,8,5,2,1,0.5,2.001,-9.5,0,180
355,9,5,2,1,0.5,2.001,-9.5,0,180
356,10,5,2,1,0.5,2.001,-9.5,0,180
357,-10,6,2,1,0.5,2.001,-9.5,0,180
358,-9,6,2,1,0.5,2.001,-9.5,0,180
359,-8,6,2,1,0.5,2.001,-9.5,0,180
360,-7,6,2,1,0.5,2.001,-9.5,0,180
361,-6,6,2,1,0.5,2.001,-9.5,0,180
362,-5,6,2,1,0.5,2.001,-9.5,0,180
363,-4,6,2,1,0.5,2.001,-9.5,0,180
364,-3,6,2,1,0.5,2.001,-9.5,0,180
365,-2,6,2,1,0.5,2.001,-9.5,0,180
366,-1,6,2,1,0.5,2.001,-9.5,0,180
367,0,6,2,1,0.5,2.001,-9.5,0,180
368,1,6,2,1,0.5,2.001,-9.5,0,180
369,2,6,2,1,0.5,2.001,-9.5,0,180
370,3,6,2,1,0.5,2.001,-9.5,0,180
371,4,6,2,1,0.5,2.001,-9.5,0,180
372,5,6,2,1,0.5,2.001,-9.5,0,180
373,6,6,2,1,0.5,2.001,-9.5,0,180
374,7,6,2,1,0.5,2.001,-9.5,0,180
375,8,6,2,1,0.5,2.001,-9.5,0,180
376,9,6,2,1,0.5,2.001,-9.5,0,180
377,10,6,2,1,0.5,2.001,-9.5,0,180
378,-10,7,2,1,0.5,2.001,-9.5,0,180
379,-9,7,2,1,0.5,2.001,-9.5,0,180
380,-8,7,2,1,0.5,2.001,-9.5,0,180
381,-7,7,2,1,0.5,2.001,-9.5,0,180
382,-6,7,2,1,0.5,2.001,-9.5,0,180
383,-5,7,2,1,0.5,2.001,-9.5,0,180
384,-4,7,2,1,0.5,2.001,-9.5,0,180
385,-3,7,2,1,0.5,2.001,-9.5,0,180
386,-2,7,2,1,0.5,2.001,-9.5,0,180
387,-1,7,2,1,0.5,2.001,-9.5,0,180
388,0,7,2,1,0.5,2.001,-9.5,0,180
389,1,7,2,1,0.5,2.001,-9.5,0,180
390,2,7,2,1,0.5,2.001,-9.5,0,180
391,3,7,2,1,0.5,2.001,-9.5,0,180
392,4,7,2,1,0.5,2.001,-9.5,0,180
393,5,7,2,1,0.5,2.001,-9.5,0,180
394,6,7,2,1,0.5,2.001,-9.5,0,180
395,7,7,2,1,0.5,2.001,-9.5,0,180
396,8,7,2,1,0.5,2.001,-9.5,0,180
397,9,7,2,1,0.5,2.001,-9.5,0,180
398,10,7,2,1,0.5,2.001,-9.5,0,180
399,-10,8,2,1,0.5,2.001,-9.5,0,180
400,-9,8,2,1,0.5,2.001,-9.5,0,180
401,-8,8,2,1,0.5,2.001,-9.5,0,180
402,-7,8,2,1,0.5,2.001,-9.5,0,180
403,-6,8,2,1,0.5,2.001,-9.5,0,180
404,-5,8,2,1,0.5,2.001,-9.5,0,180
405,-4,8,2,1,0.5,2.001,-9.5,0,180
406,-3,8,2,1,0.5,2.001,-9.5,0,180
407,-2,8,2,1,0.5,2.001,-9.5,0,180
408,-1,8,2,1,0.5,2.001,-9.5,0,180
409,0,8,2,1,0.5,2.001,-9.5,0,180
410,1,8,2,1,0.5,2.001,-9.5,0,180
411,2,8,2,1,0.5,2.001,-9.5,0,180
412,3,8,2,1,0.5,2.001,-9.5,0,180
413,4,8,2,1,0.5,2.001,-9.5,0,180
414,5,8,2,1,0.5,2.001,-9.5,0,180
415,6,8,2,1,0.5,2.001,-9.5,0,180
416,7,8,2,1,0.5,2.001,-9.5,0,180
417,8,8,2,1,0.5,2.001,-9.5,0,180
418,9,8,2,1,0.5,2.001,-9.5,0,180
419,10,8,2,1,0.5,2.001,-9.5,0,180
420,-10,9,2,1,0.5,2.001,-9.5,0,180
421,-9,9,2,1,0.5,2.001,-9.5,0,180
422,-8,9,2,1,0.5,2.001,-9.5,0,180
423,-7,9,2,1,0.5,2.001,-9.5,0,180
424,-6,9,2,1,0.5,2.001,-9.5,0,180
425,-5,9,2,1,0.5,2.001,-9.5,0,180
426,-4,9,2,1,0.5,2.001,-9.5,0,180
427,-3,9,2,1,0.5,2.001,-9.5,0,180
428,-2,9,2,1,0.5,2.001,-9.5,0,180
429,-1,9,2,1,0.5,2.001,-9.5,0,180
430,0,9,2,1,0.5,2.001,-9.5,0,180
431,1,9,2,1,0.5,2.001,-9.5,0,180
432,2,9,2,1,0.5,2.001,-9.5,0,180
433,3,9,2,1,0.5,2.001,-9.5,0,180
434,4,9,2,1,0.5,2.001,-9.5,0,180
435,5,9,2,1,0.5,2.001,-9.5,0,180
436,6,9,2,1,0.5,2.001,-9.5,0,180
437,7,9,2,1,0.5,2.001,-9.5,0,180
438,8,9,2,1,0.5,2.001,-9.5,0,180
439,9,9,2,1,0.5,2.001,-9.5,0,180
440,10,9,2,1,0.5,2.001,-9.5,0,180
441,-10,3,3,1,0.5,2.001,-9.5,0,180
442,-9,3,3,1,0.5,2.001,-9.5,0,180
443,-8,3,3,1,0.5,2.001,-9.5,0,180
444,-7,3,3,1,0.5,2.001,-9.5,0,180
445,-6,3,3,1,0.5,2.001,-9.5,0,180
446,-5,3,3,1,0.5,2.001,-9.5,0,180
447,-4,3,3,1,0.5,2.001,-9.5,0,180
448,-3,3,3,1,0.5,2.001,-9.5,0,180
449,-2,3,3,1,0.5,2.001,-9.5,0,180
450,-1,3,3,1,0.5,2.001,-9.5,0,180
451,0,3,3,1,0.5,2.001,-9.5,0,180
452,1,3,3,1,0.5,2.001,-9.5,0,180
453,2,3,3,1,0.5,2.001,-9.5,0,180
454,3,3,3,1,0.5,2.001,-9.5,0,180
455,4,3,3,1,0.5,2.001,-9.5,0,180
456,5,3,3,1,0.5,2.001,-9.5,0,180
457,6,3,3,1,0.5,2.001,-9.5,0,180
458,7,3,3,1,0.5,2.001,-9.5,0,180
459,8,3,3,1,0.5,2.001,-9.5,0,180
460,9,3,3,1,0.5,2.001,-9.5,0,180
461,10,3,3,1,0.5,2.001,-9.5,0,180
462,-10,4,3,1,0.5,2.001,-9.5,0,180
463,-9,4,3,1,0.5,2.001,-9.5,0,180
464,-8,4,3,1,0.5,2.001,-9.5,0,180
465,-7,4,3,1,0.5,2.001,-9.5,0,180
466,-6,4,3,1,0.5,2.001,-9.5,0,180
467,-5,4,3,1,0.5,2.001,-9.5,0,180
468,-4,4,3,1,0.5,2.001,-9.5,0,180
469,-3,4,3,1,0.5,2.001,-9.5,0,180
470,-2,4,3,1,0.5,2.001,-9.5,0,180
471,-1,4,3,1,0.5,2.001,-9.5,0,180
472,0,4,3,1,0.5,2.001,-9.5,0,180
473,1,4,3,1,0.5,2.001,-9.5,0,180
474,2,4,3,1,0.5,2.001,-9.5,0,180
475,3,4,3,1,0.5,2.001,-9.5,0,180
476,4,4,3,1,0.5,2.001,-9.5,0,180
477,5,4,3,1,0.5,2.001,-9.5,0,180
478,6,4,3,1,0.5,2.001,-9.5,0,180
479,7,4,3,1,0.5,2.001,-9.5,0,180
480,8,4,3,1,0.5,2.001,-9.5,0,180
481,9,4,3,1,0.5,2.001,-9.5,0,180
482,10,4,3,1,0.5,2.001,-9.5,0,180
483,-10,5,3,1,0.5,2.001,-9.5,0,180
484,-9,5,3,1,0.5,2.001,-9.5,0,180
485,-8,5,3,1,0.5,2.001,-9.5,0,180
486,-7,5,3,1,0.5,2.001,-9.5,0,180
487,-6,5,3,1,0.5,2.001,-9.5,0,180
488,-5,5,3,1,0.5,2.001,-9.5,0,180
489,-4,5,3,1,0.5,2.001,-9.5,0,180
490,-3,5,3,1,0.5,2.001,-9.5,0,180
491,-2,5,3,1,0.5,2.001,-9.5,0,180
492,-1,5,3,1,0.5,2.001,-9.5,0,180
493,0,5,3,1,0.5,2.001,-9.5,0,180
494,1,5,3,1,0.5,2.001,-9.5,0,180
495,2,5,3,1,0.5,2.001,-9.5,0,180
496,3,5,3,1,0.5,2.001,-9.5,0,180
497,4,5,3,1,0.5,2.001,-9.5,0,180
498,5,5,3,1,0.5,2.001,-9.5,0,180
499,6,5,3,1,0.5,2.001,-9.5,0,180
500,7,5,3,1,0.5,2.001,-9.5,0,180
501,8,5,3,1,0.5,2.001,-9.5,0,180
502,9,5,3,1,0.5,2.001,-9.5,0,180
503,10,5,3,1,0.5,2.001,-9.5,0,180
504,-10,6,3,1,0.5,2.001,-9.5,0,180
505,-9,6,3,1,0.5,2.001,-9.5,0,180
506,-8,6,3,1,0.5,2.001,-9.5,0,180
